LCN2	Epi : -0.2502275382502901
AGR2	Epi : -0.23484854580051967
TRIM31	Epi : -0.20259821499032477
CYP4F3	Epi : -0.16993688999720633
CDH1	Epi : -0.16573850110379876
EHF	Epi : -0.16440860807596394
SLPI	Epi : -0.16294621320691283
ELF3	Epi : -0.15771277658745264
PPFIBP2	Epi : -0.14899936172474754
AQP3	Epi : -0.14842706378547277
PPL	Epi : -0.13509226606323801
GPX2	Epi : -0.12908045670595183
FA2H	Epi : -0.12094478743837139
CEACAM6	Epi : -0.11818216186892962
CLDN7	Epi : -0.11683160246536174
EPCAM	Epi : -0.10399680384171718
LY75	Epi : -0.0964079162080034
C1orf116	Epi : -0.09298750843417444
TSPAN1	Epi : -0.09255236735905419
CKMT1A	Epi : -0.09231529754893095
B3GNT3	Epi : -0.08432744416039105
MTUS1	Epi : -0.08011593645171859
LSR	Epi : -0.07914242507286975
ANK3	Epi : -0.07792806344752394
KRT15	Epi : -0.07712328321980323
CEACAM1	Epi : -0.07416771326259254
S100A14	Epi : -0.07384094538923608
ERBB3	Epi : -0.07136410576253212
PLS1	Epi : -0.06980583090997317
MANSC1	Epi : -0.06967964383352364
MYO5C	Epi : -0.06632267521894215
TNFSF13	Epi : -0.06601758811814394
SLC9A3R1	Epi : -0.06331975271363775
ANXA9	Epi : -0.06140771959560733
TOX3	Epi : -0.05844304645393785
OCLN	Epi : -0.055856474465914664
S100P	Epi : -0.055555376805676175
SOAT1	Mes : -0.05487639459044675
RBM47	Epi : -0.052061307160848794
SCNN1A	Epi : -0.046661473777764605
AREG	Epi : -0.04235354747389806
EVPL	Epi : -0.042224428863058654
TOB1	Epi : -0.04213482897495191
ERMP1	Epi : -0.0402874406023672
HPGD	Epi : -0.03857736752882166
GRB7	Epi : -0.038542851430461975
CBLC	Epi : -0.03597720913041558
PMP22	Mes : -0.03575587995028171
PKP3	Epi : -0.03551902323143702
SERINC5	Epi : -0.03530551876074786
BIK	Epi : -0.03489348262331049
AP1M2	Epi : -0.03343553308594338
CAMK2N1	Epi : -0.03324984903828304
RAB20	Epi : -0.03252592232410013
BLNK	Epi : -0.03228849098099915
LLGL2	Epi : -0.03143750804244204
MST1R	Epi : -0.03087536359468945
EXPH5	Epi : -0.029434010556936913
ARHGEF5	Epi : -0.02805018347391964
CYB561	Epi : -0.027385997621167713
OVOL2	Epi : -0.025877861511308536
UGT1A1	Epi : -0.02528917131475421
ANXA4	Epi : -0.023389206247496852
IL20RA	Epi : -0.022105107629780272
KLF5	Epi : -0.02186472025441664
TJP2	Epi : -0.021651871135796825
TSPAN13	Epi : -0.02015888339780176
ADAP1	Epi : -0.017918725504922985
BAG2	Mes : -0.01768969193132502
POF1B	Epi : -0.01685813560441441
SYNGR2	Epi : -0.016100121859851442
DENND2D	Epi : -0.015622241075912079
ERBB2	Epi : -0.015617995167839079
ZNF165	Epi : -0.015133350814312932
FXYD3	Epi : -0.014579182482592584
IL1RN	Epi : -0.014404765279826667
LAD1	Epi : -0.01382446700611627
DTX4	Epi : -0.01345762299560716
TMEM30B	Epi : -0.0129396276598171
TMC6	Epi : -0.01261991663702381
ABCC3	Epi : -0.011649749127048236
CTSH	Epi : -0.007947823867583624
XBP1	Epi : -0.007762781677922562
GLYR1	Mes : -0.006635670419278173
KCNK1	Epi : -0.006377114106059942
MGST2	Epi : -0.005995674983876915
TACSTD2	Epi : -0.004328888171240691
SLC37A1	Epi : -0.003586403733046216
VAMP8	Epi : -0.0029003857988134257
CDH3	Epi : -0.002699053826625056
PERP	Epi : -0.0014306849304095862
RAB11FIP1	Epi : -0.0003134178098201136
GRHL2	Epi : 0.0009418249649503418
MPZL2	Epi : 0.001406777930312795
BSPRY	Epi : 0.0016842422004437131
SSH3	Epi : 0.002432016198775264
OAS1	Epi : 0.002468019681408702
CD46	Epi : 0.0025191128544043576
TMPRSS4	Epi : 0.0025997208864486196
ESRP2	Epi : 0.0027380927053511656
ETV1	Mes : 0.003980184706098516
SFN	Epi : 0.004057403212003568
KRT19	Epi : 0.004478321692630058
MSN	Mes : 0.004926863818877102
FBP1	Epi : 0.005202637680270175
COMT	Epi : 0.0053627053390116605
ALOX5	Epi : 0.006791690472660027
ELMO3	Epi : 0.007856031624770993
SPINT2	Epi : 0.007956776761144813
HNMT	Epi : 0.008821489052287832
ARHGAP8	Epi : 0.008971243891898517
ATP2C2	Epi : 0.009082913447714815
TMPRSS2	Epi : 0.009834749691666006
MYO6	Epi : 0.009901371275513847
EPHA1	Epi : 0.010734164879556973
IRF6	Epi : 0.012718666175186936
TTC39A	Epi : 0.012978014974510095
VGLL1	Epi : 0.013271012926467603
ST14	Epi : 0.01341912773854836
ATP1B1	Epi : 0.01465482381054961
SPINT1	Epi : 0.016097417771227425
FHL1	Mes : 0.016580398873935902
MYH14	Epi : 0.01734041105675544
