TRIM31	Epi : -0.28045610938271703
LCN2	Epi : -0.22519552448457242
AGR2	Epi : -0.21947151803926268
ELF3	Epi : -0.21755593341020413
CDH1	Epi : -0.17095980458490612
EHF	Epi : -0.15084124572299548
PPFIBP2	Epi : -0.1500727473212798
CYP4F3	Epi : -0.14676357635711448
GPX2	Epi : -0.13907575272780714
SLPI	Epi : -0.13621643384857934
AQP3	Epi : -0.12599165930017905
KRT15	Epi : -0.12560772601123502
EPCAM	Epi : -0.12398484505436777
PPL	Epi : -0.11770215185498668
LY75	Epi : -0.11603535237281021
CLDN7	Epi : -0.09817586175965518
S100A14	Epi : -0.09369283415038854
FA2H	Epi : -0.08995345797790914
OVOL2	Epi : -0.08830874008171571
ERBB3	Epi : -0.08480965813103265
ANXA9	Epi : -0.08397964282474805
TSPAN1	Epi : -0.08183271804202077
C1orf116	Epi : -0.07644557939731149
MTUS1	Epi : -0.0762872580163822
AP1M2	Epi : -0.07579491975100876
B3GNT3	Epi : -0.07546425874292767
LSR	Epi : -0.07446428562540114
CEACAM1	Epi : -0.07242400208717961
BLNK	Epi : -0.06893481492991851
CEACAM6	Epi : -0.06788120916426202
ANK3	Epi : -0.06707018079826514
CKMT1A	Epi : -0.06577491791303465
BIK	Epi : -0.06155227332563812
OCLN	Epi : -0.05944751910956895
CAMK2N1	Epi : -0.05922199402471062
PLS1	Epi : -0.0557594072922048
SOAT1	Mes : -0.055451427388866374
MANSC1	Epi : -0.0514347939780472
SLC9A3R1	Epi : -0.050620895000282363
ARHGAP8	Epi : -0.047320787031451025
SCNN1A	Epi : -0.047219237554769984
MYO5C	Epi : -0.04552300160635683
RBM47	Epi : -0.045306844048972096
SERINC5	Epi : -0.04498278883983324
S100P	Epi : -0.044153207881699914
TOX3	Epi : -0.03972328901596398
AREG	Epi : -0.03724915221799876
MPZL2	Epi : -0.036159101005644304
GRB7	Epi : -0.03515527438917658
TNFSF13	Epi : -0.033660473194387454
RAB20	Epi : -0.028928353825861532
PMP22	Mes : -0.028928033324307285
ARHGEF5	Epi : -0.02759404645485917
