EHF	Epi : -0.18711709511060404
TMEM158	Mes : -0.1772764401159119
TMEM30B	Epi : -0.152407072471934
TOB1	Epi : -0.13934710579820508
KRT19	Epi : -0.13098658808072325
OCLN	Epi : -0.1277152472553527
UGT1A1	Epi : -0.1276021547414133
TOX3	Epi : -0.12277363973575454
BLNK	Epi : -0.1176352767238249
LY75	Epi : -0.1116568976089027
SOAT1	Mes : -0.10281384520756179
SLC9A3R1	Epi : -0.09806452195340146
CYP4F3	Epi : -0.09278460532267226
HPGD	Epi : -0.09206097672592944
TACSTD2	Epi : -0.0887044740894798
DENND2D	Epi : -0.08766980516305849
POPDC3	Mes : -0.07857268685085136
FXYD3	Epi : -0.07699581818634342
KLF5	Epi : -0.07682698035189192
SH3YL1	Epi : -0.07611518301677747
CD46	Epi : -0.07556153426619866
AREG	Epi : -0.07238691893316043
SPARC	Mes : -0.06965450163568661
B3GNT3	Epi : -0.06938851359414826
CYB561	Epi : -0.06786530733963861
ANK3	Epi : -0.06542878488893392
RBM47	Epi : -0.06201012278494306
MXRA7	Mes : -0.06182034776021094
GRB7	Epi : -0.061611826513161
DSP	Epi : -0.06158690274790194
LHFP	Mes : -0.060128989188864286
STAP2	Epi : -0.059410046441932124
SERINC5	Epi : -0.056879961283664994
DTX4	Epi : -0.05676201888244083
AGR2	Epi : -0.05528359681526815
PLS1	Epi : -0.055185287589795386
HES1	Epi : -0.055143656882194934
SPINT1	Epi : -0.054568599958233675
ELF3	Epi : -0.053726596469225854
TMPRSS2	Epi : -0.05250991924934532
RAB25	Epi : -0.051870763335279665
PMP22	Mes : -0.05161648015079185
BAG2	Mes : -0.05120202912605084
EPHA1	Epi : -0.05085339543672849
PLXNB2	Epi : -0.05081246169320087
EXPH5	Epi : -0.04985682480574621
TRPC1	Mes : -0.04978425077485935
TJP2	Epi : -0.04915407455513231
TSPAN13	Epi : -0.04895422791104276
KDELC1	Mes : -0.04802728355165919
TMEFF1	Mes : -0.0474785262712075
KCNK1	Epi : -0.04720005076919741
ERMP1	Epi : -0.04661179637431014
SDC1	Epi : -0.04564965521354803
MAPK13	Epi : -0.04509495240686378
ESRP1	Epi : -0.044926535072926925
PPL	Epi : -0.04482428188419577
TGFA	Epi : -0.04356352067641267
ETV1	Mes : -0.04286591783426233
RABGAP1L	Epi : -0.042682944409376
ESRP2	Epi : -0.04073487277304846
VGLL1	Epi : -0.04050050852725225
LAD1	Epi : -0.04043564972581891
ARHGEF5	Epi : -0.039514888478314136
HNMT	Epi : -0.039492172784417884
ANXA4	Epi : -0.03796975958606023
ADAP1	Epi : -0.0377778006687278
MANSC1	Epi : -0.0373416208624151
EPN3	Epi : -0.03452405596797611
FHL1	Mes : -0.03426891024446743
AQP3	Epi : -0.03421818401837321
TNFSF13	Epi : -0.033457229086467546
XBP1	Epi : -0.03320767042182104
SCEL	Epi : -0.03187120696400405
GLYR1	Mes : -0.030362082506425435
ANK2	Mes : -0.030010761139312912
POF1B	Epi : -0.02936277290813576
ATP1B1	Epi : -0.029320447110832336
RAB20	Epi : -0.02707523809480186
COL5A2	Mes : -0.02638376558465045
COMT	Epi : -0.026170578550962175
MYO5C	Epi : -0.025439508507253385
AP1S2	Mes : -0.024668935451756566
BSPRY	Epi : -0.024474546630467366
SFN	Epi : -0.023391016114751237
GALNT3	Epi : -0.0221522732614636
FBP1	Epi : -0.02209215030965676
TSPAN1	Epi : -0.022032728136882663
LOXL2	Mes : -0.020566316128005805
KRT18	Epi : -0.020202603618693697
CHN1	Mes : -0.019860845079930117
DENND5A	Mes : -0.018603298744429394
MAP7	Epi : -0.017656157715330363
IL1RN	Epi : -0.01723327057839611
SPINT2	Epi : -0.01674954717411012
LGALS1	Mes : -0.015482281605942253
PRSS8	Epi : -0.013185631333254256
ERBB3	Epi : -0.012137709106235246
PERP	Epi : -0.011574014681715252
KRT8	Epi : -0.011527507905635621
LEPRE1	Mes : -0.011490836113675344
MAP1B	Mes : -0.011226146279551983
ARAP2	Epi : -0.010748342962326157
RECK	Mes : -0.010241125814445997
CEP170	Mes : -0.010048692270149396
ZEB1	Mes : -0.009477828591546108
MGST2	Epi : -0.00881582078333954
CLDN7	Epi : -0.007625001114395873
SOBP	Mes : -0.007380628465659315
CD9	Epi : -0.007039063441135409
MYO6	Epi : -0.006905756904964443
AIM1	Epi : -0.006884843468474383
EPS8L1	Epi : -0.006341104437105639
TRIM31	Epi : -0.004725510688440947
TMC6	Epi : -0.004191734991851374
SYNGR2	Epi : -0.004128462876830895
MTUS1	Epi : -0.0033548576723132955
SSH3	Epi : -0.0029206812042518473
GRHL2	Epi : -0.002890810292544953
CDS1	Epi : -0.0027719844651804284
IL20RA	Epi : -0.0024483884317884
VIM	Mes : -0.002034309309169943
TTC39A	Epi : -0.0019552264147951613
SHANK2	Epi : -0.0018293416906774132
MYH14	Epi : -0.00032834662787682185
ATP2C2	Epi : -0.00026587155365619976
RAB11FIP1	Epi : -0.00020955996102201102
SH2B3	Mes : 0.0004309924032268543
MALL	Epi : 0.0004982112147057015
ARHGAP8	Epi : 0.0005810919411579812
CAPN1	Epi : 0.0007720524545014263
ELMO3	Epi : 0.0008460852428402468
ICA1	Epi : 0.002439364095969275
DSC2	Epi : 0.004788167388049678
GFPT2	Mes : 0.007423523079251932
TPM2	Mes : 0.008129384072542227
FSTL1	Mes : 0.008997995235411642
MPZL2	Epi : 0.00983428224629247
FOXA1	Epi : 0.011172502609107427
SRPX	Mes : 0.01235029479136851
SACS	Mes : 0.012768294290900956
DDR1	Epi : 0.0138665502514449
KRT7	Epi : 0.014017968207162763
C1orf106	Epi : 0.016001722867061578
PTRF	Mes : 0.020510084640324194
SLC37A1	Epi : 0.021039464286481936
OVOL2	Epi : 0.02163718851504732
LLGL2	Epi : 0.022774188344106047
ST14	Epi : 0.02311387673386207
ANXA9	Epi : 0.023630493408174677
EPS8L2	Epi : 0.023933610233235845
PYCARD	Epi : 0.024471081845504304
FA2H	Epi : 0.025038233704095542
CDH3	Epi : 0.025897479333854792
C1orf116	Epi : 0.027752638138714186
AXL	Mes : 0.028947996198112995
CALD1	Mes : 0.030336426214041864
KLK6	Epi : 0.031064191715765996
AKAP12	Mes : 0.03115455729750691
F11R	Epi : 0.031651866441950206
CTSH	Epi : 0.03216857618135877
S100A14	Epi : 0.03472401286673332
CBLC	Epi : 0.03626705372691716
TUBA1A	Mes : 0.03659581687584013
MYO1D	Epi : 0.03759274987356043
MSN	Mes : 0.037844000240641155
ITGB6	Epi : 0.037968365192549855
IRF6	Epi : 0.03811772816337269
EMP3	Mes : 0.03874063447408652
CAMK2N1	Epi : 0.04177051478304809
PKP3	Epi : 0.042385175064464924
SH2D3A	Epi : 0.043207642709196234
MYL9	Mes : 0.04349468310149016
