TMEM158	Mes : -0.21674188981599143
EHF	Epi : -0.1904066299753868
CYP4F3	Epi : -0.1674658883246695
CDH3	Epi : -0.16225687025026583
LOXL2	Mes : -0.16167674132691104
TRIM31	Epi : -0.138780720974081
ELF3	Epi : -0.13260575102197458
BIK	Epi : -0.1195954517348558
KDELC1	Mes : -0.11262529167851869
AREG	Epi : -0.10529436769146748
POPDC3	Mes : -0.0955025397730919
OCLN	Epi : -0.0950659692859917
GALNT3	Epi : -0.09504322897145774
ARHGAP8	Epi : -0.09090004376025129
TOB1	Epi : -0.08684618033303254
TGFB1I1	Mes : -0.08671642310161891
DTX4	Epi : -0.0844076768507235
XBP1	Epi : -0.08206187722380036
IL20RA	Epi : -0.08112858146425343
KCNK1	Epi : -0.08087426957949594
ANK3	Epi : -0.07516666808534535
SHANK2	Epi : -0.07436415126433586
OVOL2	Epi : -0.07050532754676171
FXYD3	Epi : -0.07048514635063997
TRPC1	Mes : -0.07046439366793461
ARHGEF5	Epi : -0.06849891615696813
ATP2C2	Epi : -0.06814891794646634
C1orf116	Epi : -0.06717306648548206
CD9	Epi : -0.0666700460293919
MXRA7	Mes : -0.06604427191377649
AGR2	Epi : -0.0652728418845051
ZNF165	Epi : -0.06371337074561799
CYB561	Epi : -0.06075917830610221
PPL	Epi : -0.05494356646502573
EPN3	Epi : -0.05465111779226489
RAB25	Epi : -0.05234882207213997
LGALS1	Mes : -0.05162637423855574
SLC9A3R1	Epi : -0.05107390834456141
DSP	Epi : -0.05098605440199288
SDC1	Epi : -0.04911708871701677
SERINC5	Epi : -0.046428899739239075
GFPT2	Mes : -0.04595161589803194
KRT19	Epi : -0.04577592027715905
TMEFF1	Mes : -0.045749766528189593
ST14	Epi : -0.0445089833678797
IL1RN	Epi : -0.04367782680706978
FOXA1	Epi : -0.04325490718730049
MYL9	Mes : -0.04117854156516605
TOX3	Epi : -0.04020689532373764
PMP22	Mes : -0.03975391145787119
TGFA	Epi : -0.03879223465039138
SOAT1	Mes : -0.03803530272510287
AKAP12	Mes : -0.03729923891898889
FSTL1	Mes : -0.034572032733431075
VGLL1	Epi : -0.03445544927388642
GRHL2	Epi : -0.034031110932784735
TSPAN1	Epi : -0.032181193974213006
KLF5	Epi : -0.032172986596764805
RECK	Mes : -0.03207568925538104
ALDH3B2	Epi : -0.031069143586573738
CHN1	Mes : -0.029807203055397316
TMEM30B	Epi : -0.0293275124533778
TTC39A	Epi : -0.029268094258372457
AP1M2	Epi : -0.028920673679900668
CD46	Epi : -0.028788639281468856
GRB7	Epi : -0.02819473971160722
STAP2	Epi : -0.02812938778701106
BSPRY	Epi : -0.027296722586758044
TPM2	Mes : -0.026501258289031836
ANXA4	Epi : -0.025749848561468617
SPINT2	Epi : -0.023780155860359507
EXPH5	Epi : -0.021859322494917087
TSPAN13	Epi : -0.02159475066303283
AXL	Mes : -0.02156857041931421
DENND2D	Epi : -0.02118048620252958
SCEL	Epi : -0.020619422830502016
SSH3	Epi : -0.0194321056454922
BAG2	Mes : -0.01939815148236736
RAB20	Epi : -0.019363104059027695
TACSTD2	Epi : -0.018661591304891756
AIM1	Epi : -0.01850663697940871
PERP	Epi : -0.017250227012818354
LY75	Epi : -0.017017977726259403
SH3YL1	Epi : -0.016986828873884405
COL5A2	Mes : -0.01629971708568953
DENND5A	Mes : -0.014938302565647115
SACS	Mes : -0.014713238440755295
UGT1A1	Epi : -0.013973262487945034
ELMO3	Epi : -0.013704066006551371
RABGAP1L	Epi : -0.013484337112694313
LEPRE1	Mes : -0.01320229140861248
ERMP1	Epi : -0.01294782358481564
PTRF	Mes : -0.012092660100614945
CLDN7	Epi : -0.01152601785205715
KRT18	Epi : -0.011197291596073612
SYNGR2	Epi : -0.010893867449360614
CTSH	Epi : -0.009973755187486163
POF1B	Epi : -0.009776391949103822
KLK6	Epi : -0.00942556004903323
ESRP2	Epi : -0.008646556120796161
ATP1B1	Epi : -0.0073332512866328406
MYH14	Epi : -0.0071655857464478015
TMC6	Epi : -0.00627636923117436
MYO5C	Epi : -0.005436530634753794
FHL1	Mes : -0.004441369929879548
PLXNB2	Epi : -0.003230175762433366
RBM47	Epi : -0.0029749160071740753
HES1	Epi : -0.0018891789274535359
COMT	Epi : -0.0009560558134757808
AQP3	Epi : -0.00025353197866205904
CAPN1	Epi : 0.00033765497336052017
VIM	Mes : 0.0010976308326308315
TNFSF13	Epi : 0.0023283548099679733
MYO6	Epi : 0.002370601391728725
KRT8	Epi : 0.0027918444000604634
PLS1	Epi : 0.002813265391189053
EMP3	Mes : 0.002900534558863254
FA2H	Epi : 0.0033959610986140916
MSN	Mes : 0.0038386157189257684
SFN	Epi : 0.0038552440744116607
CAMK2N1	Epi : 0.004590555528915496
GLYR1	Mes : 0.004989547249815062
MAP7	Epi : 0.005028034942688408
SH2B3	Mes : 0.005271589115872108
C1orf106	Epi : 0.006450831116116256
RAB11FIP1	Epi : 0.006499199271681088
SCNN1A	Epi : 0.006966071078128399
ARHGDIB	Epi : 0.007059941436012072
HPGD	Epi : 0.007221307297636337
SH2D3A	Epi : 0.0073309010306584635
ETV1	Mes : 0.007530342862166312
LAD1	Epi : 0.007598462912130356
TMPRSS2	Epi : 0.008023317709325066
